availability_365,reviews_per_month,number_of_reviews,minimum_nights,calculated_host_listings_count,latitude,longitude,churned,room_type_Hotel room,room_type_Private room,room_type_Shared room,churn_predicted
350,2.67,478,2,2,45.51939,-73.56482,0,False,False,False,0
327,0.96,153,2,2,45.51929,-73.56493,0,False,False,False,0
190,0.44,52,210,6,45.53026,-73.58413,0,False,False,False,1
313,0.1,17,31,2,45.52699,-73.5584,0,False,True,False,0
34,1.84,323,3,2,45.54157,-73.60737,0,False,False,False,0
60,3.04,525,3,4,45.50584,-73.55602,0,False,False,False,0
224,0.26,45,32,2,45.46133041381836,-73.62896728515625,0,False,False,False,1
365,0.01,1,31,2,45.5019,-73.56354,0,False,False,False,0
250,0.25,42,3,1,45.47812,-73.55698,0,False,False,False,1
0,0.24,40,32,6,45.52946,-73.58206,1,False,False,False,1
365,0.26,44,31,1,45.51856,-73.57756,0,False,False,False,0
125,0.11,19,5,1,45.51933,-73.57472,0,False,False,False,1
0,0.59,99,31,1,45.52403,-73.60176,1,False,False,False,1
172,0.48,80,31,2,45.53971,-73.61943,0,False,False,False,1
253,0.51,81,2,1,45.52663,-73.60145,0,False,False,False,0
48,0.78,129,32,6,45.52851,-73.58224,0,False,False,False,1
2,0.19,31,32,2,45.461334228515625,-73.62901306152344,0,False,False,False,1
63,4.78,789,2,2,45.528545,-73.579308,0,False,False,False,0
8,0.2,32,31,3,45.54673,-73.57181,0,False,False,False,1
71,4.25,696,2,2,45.528431,-73.578979,0,False,False,False,0
187,0.01,2,31,3,45.49406,-73.62555,0,False,False,False,1
197,0.09,3,31,3,45.49172,-73.6247,0,False,False,False,1
365,0.01,1,99,1,45.51937,-73.56999,0,False,True,False,0
77,0.14,22,20,2,45.53217,-73.58388,0,False,False,False,1
158,1.58,219,31,1,45.41282,-73.90712,0,False,False,False,0
365,0.13,21,31,6,45.4901,-73.56718,0,False,True,False,0
79,0.13,21,31,2,45.53839,-73.61759,0,False,False,False,1
262,0.05,7,32,6,45.49031,-73.56686,0,False,True,False,1
86,0.35,55,32,6,45.52991,-73.58205,0,False,False,False,1
2,0.27,44,32,1,45.55275,-73.60055,0,False,False,False,1
211,0.1,15,31,3,45.5467,-73.57182,0,False,False,False,1
151,0.28,34,90,1,45.52912,-73.57694,0,False,False,False,1
320,1.6,245,2,4,45.48177,-73.55727,0,False,False,False,0
191,0.12,10,31,3,45.55232,-73.58254,0,False,False,False,1
177,0.06,10,31,1,45.51898,-73.56871,0,False,False,False,1
127,0.55,87,31,1,45.54967,-73.58588,0,False,False,False,1
279,0.26,41,31,3,45.52353,-73.68069,0,False,True,False,0
360,0.21,33,180,1,45.52459,-73.59616,0,False,False,False,0
30,0.47,71,31,1,45.52916,-73.57174,0,False,False,False,1
152,0.22,33,31,2,45.55646,-73.53311,0,False,True,False,1
364,0.1,15,365,1,45.51783,-73.58198,0,False,False,False,1
149,0.24,38,31,2,45.5519,-73.57544,0,False,False,False,1
0,2.58,405,31,1,45.54702,-73.57514,1,False,False,False,0
241,0.55,86,31,3,45.51746,-73.67184,0,False,False,False,0
266,0.1,12,5,1,45.53461,-73.57076,0,False,False,False,0
237,2.68,417,31,1,45.51614,-73.581,0,False,False,False,0
206,0.1,15,32,2,45.52428,-73.58825,0,False,False,False,1
82,0.13,20,31,1,45.51272,-73.57613,0,False,True,False,1
91,0.19,30,4,1,45.53537,-73.61192,0,False,False,False,1
2,2.48,385,31,1,45.50922,-73.5519,0,False,False,False,0
2,0.25,39,32,1,45.53686,-73.62401,0,False,False,False,1
2,0.32,49,31,1,45.54192,-73.60358,0,False,False,False,1
365,0.64,92,180,1,45.5137,-73.57614,0,False,False,False,0
2,0.27,37,32,1,45.52952,-73.59487,0,False,False,False,1
140,0.08,12,31,1,45.4873,-73.5733,0,False,False,False,1
175,1.68,221,5,2,45.53666,-73.58142,0,False,False,False,0
202,0.84,128,31,1,45.5309,-73.56854,0,False,False,False,0
161,0.16,25,32,2,45.54028,-73.61814,0,False,False,False,1
358,0.24,37,31,1,45.5506,-73.5443,0,False,True,False,0
306,1.15,176,2,3,45.51757,-73.55598,0,False,False,False,0
0,0.14,21,31,1,45.5285,-73.58559,1,False,False,False,1
8,0.43,66,2,1,45.52976,-73.58744,0,False,False,False,1
193,0.13,18,31,1,45.50652,-73.57523,0,False,False,False,1
328,0.08,9,32,2,45.47907,-73.57308,0,False,False,False,0
278,3.26,294,2,3,45.51758,-73.55601,0,False,False,False,0
67,6.18,942,1,2,45.51884,-73.59048,0,False,False,False,0
240,0.23,35,31,3,45.57466,-73.57275,0,False,False,False,0
0,0.07,8,33,4,45.54959,-73.66735,1,False,False,False,1
364,0.02,3,31,1,45.53285,-73.57082,0,False,False,False,0
273,0.26,38,31,5,45.52408,-73.59696,0,False,False,False,0
65,0.2,31,31,1,45.52074,-73.57536,0,False,False,False,1
63,0.18,27,31,1,45.52283,-73.57179,0,False,False,False,1
35,0.18,25,32,1,45.52435,-73.59852,0,False,False,False,1
365,1.67,252,32,1,45.51579,-73.57833,0,False,False,False,0
347,0.64,91,31,3,45.52597,-73.68104,0,False,False,False,0
163,0.48,71,31,1,45.51811,-73.59867,0,False,False,False,1
0,0.14,17,31,2,45.54842,-73.66532,1,False,False,False,1
0,0.18,25,31,1,45.54253,-73.54261,1,False,False,False,1
252,1.14,165,7,3,45.5243,-73.59238,0,False,False,False,0
150,0.31,45,31,3,45.5241,-73.59248,0,False,False,False,1
25,0.16,22,32,1,45.55237,-73.59676,0,False,False,False,1
274,0.28,38,32,2,45.6428,-73.49825,0,False,False,False,0
358,0.0,0,91,1,45.52635,-73.57507,1,False,False,False,0
365,0.39,51,32,2,45.64276,-73.49736,0,False,False,False,0
14,0.72,97,31,1,45.51437,-73.57005,0,False,False,False,1
364,0.44,59,31,4,45.52331,-73.6004,0,False,False,False,0
61,0.35,25,3,1,45.52164,-73.59317,0,False,False,False,1
79,0.31,40,5,1,45.54258,-73.63469,0,False,False,False,1
333,0.49,65,31,1,45.5203,-73.5728,0,False,False,False,0
328,0.17,20,1,4,45.50941,-73.57234,0,False,False,False,0
0,0.14,17,4,1,45.532962799072266,-73.60941314697266,1,False,False,False,1
229,0.02,3,300,1,45.52381,-73.55025,0,False,False,False,1
207,1.53,203,31,1,45.53321,-73.58563,0,False,False,False,0
135,0.57,75,31,2,45.50041,-73.55637,0,False,False,False,1
128,0.24,32,31,1,45.52499,-73.58691,0,False,False,False,1
306,0.63,67,2,2,45.56722,-73.577,0,False,False,False,0
352,0.57,68,2,1,45.52702,-73.58339,0,False,False,False,0
0,0.16,21,180,1,45.50134,-73.55639,1,False,False,False,1
353,1.27,168,180,1,45.59586,-73.548,0,False,False,False,0
57,1.3,147,31,2,45.50444,-73.55426,0,False,False,False,1
27,0.6,85,28,1,45.5202,-73.56335,0,False,False,False,1
0,0.46,65,2,2,45.52186,-73.58207,1,False,True,False,1
